community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url
181,WAYILILINYPA,"NGANA,WAYLILINPA,WAYLILYNPA",Family Outstation,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-22.50196,131.44669,https://bushtel.nt.gov.au/profile/181
182,WELERE,"DERRY DOWNS,PERETY",Family Outstation,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,BARKLY,6,Homelands Service Provider Report 2023,-22.02194,135.19169,https://bushtel.nt.gov.au/profile/182
183,WELMALA,WIRRMALYANGA,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,,Not recorded,-25.68278,133.26116,https://bushtel.nt.gov.au/profile/183
655,WERENBUN,EDITH FALLS ROAD,Family Outstation,ROPER GULF,NYIRRANGGULUNG,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,20,Homelands Service Provider Report 2023,-14.18255,132.1611,https://bushtel.nt.gov.au/profile/655
708,WERRE-THERRE,"DAVIS CAMP,HAMILTON DOWNS,KUPULA URBALA,KUPUTA URBALA,MCCORMACKS CAMP,THAKAPERTE,WERE-THERRE",Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,2,Homelands Service Provider Report 2023,-23.54265,133.63473,https://bushtel.nt.gov.au/profile/708
274,WEST ISLAND,"WURDIJIYA,WURDILIYA,WURDILYA,YATHUNGA",Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,8,Homelands Service Provider Report 2023,-15.64251,136.50235,https://bushtel.nt.gov.au/profile/274
185,WEST WATERHOUSE,WEST WATER HOUSE NO.2,Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,10,Homelands Service Provider Report 2023,-23.99573,133.11339,https://bushtel.nt.gov.au/profile/185
431,WIGU,"GOULBURN ISLAND,SOUTH GOULBURN IS",Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.61353,133.43225,https://bushtel.nt.gov.au/profile/431
952,WIITIN,TENNANT CREEK TELEGRAPH STN,Family Outstation,BARKLY,PATTA,CENTRAL LAND COUNCIL,BARKLY,BARKLY,7,Homelands Service Provider Report 2023,-19.54493,134.23657,https://bushtel.nt.gov.au/profile/952
432,WILGI,"TIGER'S CAMP,WANINGI,WILJI,WILTJU",Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,40,Homelands Service Provider Report 2023,-11.49601,132.74947,https://bushtel.nt.gov.au/profile/432
786,WILLIAMS WELL,"PWAYNE,WILLIAMS CAMP",Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,9,Homelands Service Provider Report 2023,-23.67327,134.27874,https://bushtel.nt.gov.au/profile/786
751,WINPARKU,"WINOPARKU,WINOPARKY",Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-23.43465,131.46172,https://bushtel.nt.gov.au/profile/751
259,WOGYALA,"3 MILE FLAT,ROCKHAMPTON DOWNS,WOGAYALA,WOGAYELA",Family Outstation,BARKLY,KUWARRANGU,NORTHERN LAND COUNCIL,BARKLY,BARKLY,40,Homelands Service Provider Report 2023,-19.00617,135.17821,https://bushtel.nt.gov.au/profile/259
21479,WOLLAGALONNG OUTSTATION,No aliases recorded with NTG DIPL,Family Outstation,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,BARKLY,CENTRAL AUSTRALIA,,Not recorded,-21.36721,133.4395,https://bushtel.nt.gov.au/profile/21479
275,WOLLOGORANG,"BRANCH CREEK,DJANGALINA,JUNGALINA",Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,2,Homelands Service Provider Report 2023,-17.21828,137.98884,https://bushtel.nt.gov.au/profile/275
697,WOOLANING,No aliases recorded with NTG DIPL,Family Outstation,UN-INCORPORATED (COX-DALY),Not recorded,NORTHERN LAND COUNCIL,DALY,TOP END,4,Homelands Service Provider Report 2023,-13.10521,130.6589,https://bushtel.nt.gov.au/profile/697
